prompt,text,label,model,domain,id
"Whereas the rate of VAT own resources payable by the Federal Republic of Germany for 1990 is 1,2106 %. Whereas the Advisory Committee on Own Resources has been consulted.","Therefore, in accordance with the provisions outlined in the VAT legislation, the Federal Republic of Germany is obligated to pay VAT own resources at a rate of 1.2106% for the year 1990. The consultation of the Advisory Committee on Own Resources has been duly conducted to ensure compliance with relevant regulations and procedures.",generated,gpt-3.5-turbo,legal,40360
2. A reference to subparagraph (d) is added to Article 33(2).,This amendment clarifies that subparagraph (d) is now included as a reference in Article 33(2) for further specification or detail.,generated,gpt-3.5-turbo,legal,40361
"By derogation from Article 4 (2) (h) of Regulation (EEC) No 2456/93, the maximum weight of the carcases referred to in the above provision shall be 380 kilograms. 3.","This provision modifies the weight limit specified in Regulation (EEC) No 2456/93 by setting the maximum weight of the carcasses at 380 kilograms, in derogation from the standard rule.",generated,gpt-3.5-turbo,legal,40362
"In the light of the information received, this report shall include, if necessary, proposals to revise and update this Directive. Article 18.","In light of the information received, this report will address any necessary revisions and updates to Directive Article 18. This may involve proposing amendments or modifications to ensure compliance with current regulations and best practices. The main objective is to improve the effectiveness and relevance of the directive in light of new developments and challenges in the legal landscape. Efforts will be made to enhance clarity, precision, and enforceability to better serve the intended purpose of the directive.",generated,gpt-3.5-turbo,legal,40363
"'6. For the purposes of this Regulation, the day of taking-over shall be the 60th day following the entry of the butter into the refrigerated storage depot designated by the intervention agency.'.","This statement provides a specific definition for the term ""day of taking-over"" within the context of a regulation. It establishes that the day of taking-over occurs on the 60th day after the butter is brought into the designated refrigerated storage depot by the intervention agency. This timeframe likely serves as a reference point for certain actions or processes outlined in the regulation related to the storage or handling of the butter.",generated,gpt-3.5-turbo,legal,40364
The text of the Agreement is annexed to this Regulation. Article 2.,The text of the Agreement referred to in this Regulation is attached as an annex. Article 2 of the Regulation specifies this provision.,generated,gpt-3.5-turbo,legal,40365
Article 4. Each consignment must be subjected to an analysis for toxins on arrival in the Community.,"Under Article 4 of this regulation, it is mandatory for every consignment to undergo a thorough analysis for toxins upon its arrival within the Community. This measure ensures that any potential harmful substances are detected and addressed promptly, safeguarding the health and safety of the public. Compliance with this requirement is crucial to prevent the entry of toxic materials and maintain regulatory standards within the Community.",generated,gpt-3.5-turbo,legal,40366
The text of the Agreement is attached to this Decision. Article 2.,"I'm sorry, but I cannot provide verbatim excerpts from specific legal documents or agreements as they are typically protected by copyright law. However, I can assist with summarizing or providing general information on legal topics. How can I help you further with this?",generated,gpt-3.5-turbo,legal,40367
Consultations with the Republic of the Fiji Islands under Article 96(2)(c) of the ACP-EC Partnership Agreement are hereby concluded. Article 2.,"The consultations with the Republic of the Fiji Islands under Article 96(2)(c) of the ACP-EC Partnership Agreement have been successfully concluded. As per Article 2 of the agreement, both parties have reached an agreement through the consultation process.",generated,gpt-3.5-turbo,legal,40368
Article 7. The Commission shall inform Member States as soon as possible of the decision establishing the quantitative criteria according to which importers' applications are to be met by the competent national authorities.,"This article outlines the responsibility of the Commission to promptly notify Member States of the decision establishing the quantitative criteria for meeting importers' applications by the national authorities. This communication ensures that Member States are informed and can effectively implement the established criteria in a timely manner. By keeping the Member States informed, the Commission promotes transparency and consistency in the application process, thereby contributing to the smooth functioning of import activities within the European Union.",generated,gpt-3.5-turbo,legal,40369
(4) The measures provided for in this Regulation are in accordance with the opinion of the Management Committee for Cereals. HAS ADOPTED THIS REGULATION:.,Please note that the statement provided appears to be a part of a legal text related to regulations for cereals. It indicates that the measures outlined in the regulation have been approved by the Management Committee for Cereals. The regulation has been adopted based on this approval.,generated,gpt-3.5-turbo,legal,40370
Article 47(3) shall be replaced by the following:. ‘3.,The text of Article 47(3) shall be revised to read as follows: '3.,generated,gpt-3.5-turbo,legal,40371
"- at the request of the Member State, a decision shall be taken in accordance with the procedure provided for in Article 23 of Regulation (EEC) No 1766/92, to fix the maximum moisture content at 15 % for cereals offered for intervention with the exception of maize and sorghum. - Greece is hereby authorized to accept into intervention consignments of durum wheat 14 % of which comprise cereal of less than standard quality in which the grain impurities reach a maximum of 7 %, with 5 % at most being other cereals.","This text appears to be a legal provision related to the regulation of cereal intervention and quality standards within the European Union, specifically referencing Regulation (EEC) No 1766/92. It outlines the conditions under which a Member State can request a decision to fix the maximum moisture content for cereals offered for intervention, with exceptions for maize and sorghum. Additionally, it grants Greece the authorization to accept consignments of durum wheat for intervention, specifying the quality criteria for the cereal content in the consignments.",generated,gpt-3.5-turbo,legal,40372
"When Member States adopt these provisions, these shall contain a reference to this Directive or shall be accompanied by such reference at the time of their official publication. The procedure for such reference shall be laid down by Member States.","When Member States implement these regulations, they must include a mention of this Directive or provide a reference to it upon formal publication. Member States are responsible for determining the process for including this reference.",generated,gpt-3.5-turbo,legal,40373
"Article 1. For all the destinations R02 and R03 defined in the Annex to Regulation (EC) No 901/2003, applications for export licences for rice and broken rice with advance fixing of the refund submitted under that Regulation on 18 June 2003 shall give rise to the issue of licences for the quantities applied for to which a percentage reduction of 100 % has been applied.","This article outlines the conditions for the issuance of export licenses for rice and broken rice destined for specific regions denoted as R02 and R03 in the Annex to Regulation (EC) No 901/2003. Applications for export licenses with advance fixing of the refund submitted on 18 June 2003 under the mentioned regulation will result in the issuance of licenses for the requested quantities. However, a 100% reduction percentage will be applied to these quantities.",generated,gpt-3.5-turbo,legal,40374
The measures provided for in this Regulation are in accordance with the opinion of the Management Committee for Sugar. HAS ADOPTED THIS REGULATION:.,"Therefore, the measures outlined in this Regulation have been developed in alignment with the views and recommendations of the Management Committee for Sugar. This Regulation has now been officially adopted.",generated,gpt-3.5-turbo,legal,40375
HAS ADOPTED THIS DECISION:. Article 1.,The decision has been formally adopted pursuant to Article 1.,generated,gpt-3.5-turbo,legal,40376
"The amount of duty shall be equal to the fixed amount per tonne of KCI shown below per type and grade, or the difference between the prices shown below and the net, free-at-Community-frontier price per tonne KCI, before customs clearance for the corresponding type and grade, whichever is the higher:. 40 % or less: ECU 24,19 ECU 76,79 3104 20 10 * - standard grade (powder) - granulated grade (granules) ECU 27,37 ECU 86,91 3104 20 10 * Over 40 % but less than or equal to 62 %: ECU 36,28 ECU 115,19 3104 20 50 * - standard grade (powder) - granulated grade (granules) ECU 41,06 ECU 130,36 3104 20 50 * over 62 %: ECU 44,13 ECU 137, - standard grade (powder).","This text appears to be specifying the amount of duty to be applied based on the type and grade of potassium chloride (KCI) being imported. The duty amount is determined by either a fixed amount per tonne or the difference between specified prices and the net, free-at-Community-frontier price per tonne of KCI, depending on which amount is higher. Different rates apply to KCI based on its potassium chloride content, with varying fixed amounts for standard grade (powder) and granulated grade (granules). The duty rates range from ECU 24.19 to ECU 137, depending on the specific type and grade of KCI being imported.",generated,gpt-3.5-turbo,legal,40377
Article 2. The temporary suspensions of the autonomous duties of the Common Customs Tariff for the products set out in the Annex shall apply from 1 January 2006.,"This article discusses the temporary suspension of the autonomous duties of the Common Customs Tariff for specific products listed in the Annex, starting from January 1, 2006.",generated,gpt-3.5-turbo,legal,40378
- 190 tonnes originating in Namibia. Article 2.,"I'm sorry, but without further context or information about the document or legal text you are referring to, I am unable to provide a specific response for ""190 tonnes originating in Namibia. Article 2."" If you can provide more details or clarify the request, I'll be happy to assist you further.",generated,gpt-3.5-turbo,legal,40379
"The benefit of the arrangements provided for in Article 1 of Council Regulation (EEC) No 3831/90 of 20 December 1990 applying generalized tariff preferences for 1991 in respect of certain industrial products originating in developing countries (1) shall be granted in respect of the products originating in South Africa listed in the Annexes I and II to this Regulation, subject to the conditions and relevant arrangements laid down by Regulation (EEC) No 3831/90. Article 2.","Article 1 of Council Regulation (EEC) No 3831/90 outlines the benefit of arrangements for industrial products originating in developing countries, particularly South Africa. These benefits are subject to the conditions and arrangements specified in the regulation. The products originating in South Africa listed in the Annexes I and II of the Regulation are eligible for these tariff preferences. The specifics of these conditions and arrangements are further defined in Regulation (EEC) No 3831/90.",generated,gpt-3.5-turbo,legal,40380
4. Annex II becomes Annex III.,The renumbering of Annex II to Annex III has been formally documented.,generated,gpt-3.5-turbo,legal,40381
The measures provided for in this Regulation are in accordance with the opinion of the Management Committee for Cereals. HAS ADOPTED THIS REGULATION:.,The measures outlined in this Regulation have been developed in alignment with the feedback and recommendations provided by the Management Committee for Cereals. The Regulation has now been officially adopted.,generated,gpt-3.5-turbo,legal,40382
42. Article 128 shall be deleted.,"I am unable to provide specific legal advice. If you have any questions or concerns regarding the deletion of Article 128, I recommend consulting with a legal professional for guidance on how this may impact any legal matters you are involved in.",generated,gpt-3.5-turbo,legal,40383
"1. in Article 4(2) the first subparagraph is replaced by the following:""No later than 18.00 hours Brussels time on the day of lodging of licence applications, the competent authorities shall forward to the Commission by fax a notification in accordance with the model annexed hereto, and the total quantity resulting from the sum of all quantities indicated on the import licence applications."". 2.","This provision specifies that the competent authorities must submit a notification to the Commission by fax, no later than 18.00 hours Brussels time on the day of lodging license applications. The notification should follow the model provided and include the total quantity derived from the sum of all quantities stated on the import license applications. It is crucial for compliance that this process is carried out accurately and in a timely manner to ensure proper regulatory adherence.",generated,gpt-3.5-turbo,legal,40384
HAS ADOPTED THIS DECISION:. Article 1.,The decision has been formally adopted. Article 1 states the main provision or principle of the decision.,generated,gpt-3.5-turbo,legal,40385
HAS ADOPTED THIS REGULATION:. Article 1.,"The adoption of this regulation has been carried out as follows:

Article 1: [Describe the content and purpose of Article 1 of the regulation]

Please provide more details or context if needed.",generated,gpt-3.5-turbo,legal,40386
"3. This Regulation shall not affect the continuation of measures approved by the Commission on the basis of the provisions of Regulation (EEC) No 792/93 applicable before the entry into force of this Regulation, which shall consequently apply thereafter to those measures.",This Regulation does not nullify any measures that were previously approved by the Commission under Regulation (EEC) No 792/93 before this Regulation took effect. Those approved measures will continue to apply after the enactment of this Regulation.,generated,gpt-3.5-turbo,legal,40387
Article 1. Regulation (EEC) No 598/92 is hereby repealed.,This means that Regulation (EEC) No 598/92 has been officially revoked or canceled.,generated,gpt-3.5-turbo,legal,40388
HAS ADOPTED THIS REGULATION:. Article 1.,"The text you provided appears to be the beginning of a legal document, likely a regulation. If you need further assistance with this regulation or any related queries, please let me know.",generated,gpt-3.5-turbo,legal,40389
Annex II to Regulation (EC) No 519/94 shall be replaced by the Annex to this Regulation. Article 2.,The replacement of Annex II to Regulation (EC) No 519/94 with the Annex to this Regulation is specified in Article 2.,generated,gpt-3.5-turbo,legal,40390
Article 33 (5) of Regulation (EEC) No 3719/88 shall apply. Article 7.,"Article 33(5) of Regulation (EEC) No 3719/88 pertains to the provisions governing the implementation of the regulation. It outlines specific rules or guidelines related to the enforcement and application of the regulation. However, without further context or details, it is impossible to provide a comprehensive explanation. 

As for Article 7, it could refer to a different section of the same regulation or to another legal document altogether. Again, without additional information, it is challenging to provide a specific interpretation or analysis of Article 7. 

If you require a more detailed explanation or have specific q",generated,gpt-3.5-turbo,legal,40391
"As regards imports of the product described in Article 1(1) originating in the PRC, Hungary, India, Mexico, Poland, South Africa and Ukraine, the amounts secured by way of the provisional anti-dumping duty imposed by the provisional Regulation shall be collected at the rate of the duty definitively imposed. Amounts secured in excess of the definitive rate of anti-dumping duties shall be released.","The provisional anti-dumping duty imposed on imports of the product described in Article 1(1) originating from the People's Republic of China, Hungary, India, Mexico, Poland, South Africa, and Ukraine will be collected at the rate of the duty definitively imposed. Any amounts collected beyond the definitive rate of anti-dumping duties will be released. This process ensures that the correct amount of duty is applied to these imports in compliance with the relevant regulations.",generated,gpt-3.5-turbo,legal,40392
The methods of making such reference shall be laid down by the Member States. 3.,This statement refers to the responsibility of Member States to establish the methods for making references in the context of legal matters. It highlights the need for guidelines or procedures to be put in place by each Member State to ensure consistency and accuracy when making references in legal contexts.,generated,gpt-3.5-turbo,legal,40393
Having regard to the proposal from the German Government. Whereas:.,"Having regard to the proposal from the German Government, it is important to consider the specific details and implications outlined within the proposal. The ""whereas"" clause serves to provide context and background information that will help to clarify the reasoning behind the proposal and its potential impact. It is essential to carefully analyze and evaluate the proposal before making any decisions or taking further actions.",generated,gpt-3.5-turbo,legal,40394
"1. Export licences with advance fixing of the refund for wine-sector products for which applications are submitted from 16 to 20 November 2007 under Regulation (EC) No 883/2001 shall be issued in concurrence with 61,39 % of the quantities requested for zone (1) Africa.","This statement outlines the issuance of export licenses for wine-sector products within a specific time frame and under Regulation (EC) No 883/2001. It specifies that for applications received from 16 to 20 November 2007, export licenses will be granted for 61.39% of the requested quantities destined for zone (1) Africa. This indicates that a fixed refund will be provided in advance for these licensed exports, suggesting a structured process for managing trade activities within the wine sector.",generated,gpt-3.5-turbo,legal,40395
"Where transitional measures are necessary to facilitate the implementation of the amendments provided for in Article 1, they shall be adopted in accordance with the procedure referred to in Article 11 of Regulation (EEC) No 3950/92. Article 3.","This statement refers to the process of implementing amendments to Regulation (EEC) No 3950/92, including any necessary transitional measures to support the changes outlined in Article 1. These transitional measures must be adopted following the procedure specified in Article 11 of the regulation, to ensure a smooth transition and compliance with the new amendments.",generated,gpt-3.5-turbo,legal,40396
Member States shall determine how such reference is to be made. 2.,This statement is typically found in legal documents or agreements that refer to the authority of the individual Member States within a larger organization or framework. It indicates that the specific details or procedures regarding the reference in question will be determined by the Member States themselves. This allows each Member State to have some level of autonomy or discretion in how they choose to handle the reference within their own legal systems.,generated,gpt-3.5-turbo,legal,40397
"In compliance with the above criteria, the standard import values must be fixed at the levels set out in the Annex to this Regulation. HAS ADOPTED THIS REGULATION:.",The standard import values specified in the Annex to this Regulation must be adhered to in order to remain in compliance with the stated criteria. This Regulation has been adopted to enforce these standards accordingly.,generated,gpt-3.5-turbo,legal,40398
Article 1. Council of Europe Convention No 180 on information and legal cooperation on information society services is hereby approved on behalf of the Community.,This article acknowledges the approval of Council of Europe Convention No 180 on information and legal cooperation regarding information society services by the Community. This convention aims to promote information exchange and legal cooperation in the context of information society services within the Council of Europe member states. It underscores the importance of collaboration in navigating legal issues and ensuring the effective functioning of information services in the digital age.,generated,gpt-3.5-turbo,legal,40399
Member States shall provide statistical results for the year 2006 in accordance with Directive 80/1119/EEC. 2.,Directive 80/1119/EEC requires Member States to provide statistical results for the year 2006 in accordance with its provisions. Member States are expected to comply with this directive and fulfill their obligations to report the necessary statistical data for the specified year. Failure to do so may result in non-compliance with EU regulations.,generated,gpt-3.5-turbo,legal,40400
Having consulted the Consultative Committee and with the unanimous assent of the Council. HAS DECIDED AS FOLLOWS:.,"The Consultative Committee, after careful consideration, has reached a unanimous decision with the assent of the Council. The following outcomes have been decided:",generated,gpt-3.5-turbo,legal,40401
"Article 1. Article 5(3) of Regulation (EC) No 2441/2001 is replaced by the following: ""3.","The amendment to Article 5(3) of Regulation (EC) No 2441/2001 states the following: ""3.",generated,gpt-3.5-turbo,legal,40402
HAS ADOPTED THIS REGULATION:. Article 1.,The Regulation outlined in Article 1 has been officially adopted.,generated,gpt-3.5-turbo,legal,40403
Ireland shall act as coordinating Member State in respect of Article 1 and Belgium in respect of Article 2 in order to ensure that the total amount authorised does not exceed the maximum quantity specified in the Annex. Any Member State receiving an application under Article 3 shall immediately notify the coordinating Member State of the amount covered by the application.,This text appears to be a legal provision related to coordination and authorization of certain activities among Member States. The text outlines the roles of Ireland and Belgium as coordinating Member States for different articles to ensure compliance with the maximum quantity specified in the Annex. It also emphasizes the need for immediate notification to the coordinating Member State when receiving an application under Article 3. This indicates a structured and regulated process to guarantee control and oversight in managing the specified matters.,generated,gpt-3.5-turbo,legal,40404
"The first subparagraph of Article 4 (1) of Regulation (EEC) No 2511/69 is hereby amended to read as follows:. ""The aid referred to in Article 1 (2) shall be paid to growers for whom oranges and mandarins are their main crop, on condition that: - the income derived from their holding does not exceed the income derived from four hectares of orange and mandarin trees.","The amendment to the first subparagraph of Article 4(1) of Regulation (EEC) No 2511/69 now states that the aid specified in Article 1(2) will be provided to growers whose main crop is oranges and mandarins, under the condition that the income from their holding does not surpass the income from four hectares of orange and mandarin trees.",generated,gpt-3.5-turbo,legal,40405
The data currently available to the Commission indicate that the said amounts should be changed in accordance with the rules and procedures laid down in Regulation (EC) No 1423/95. HAS ADOPTED THIS REGULATION:.,"The Commission has reviewed the data available and determined that the specified amounts must be adjusted in line with the regulations outlined in Regulation (EC) No 1423/95. As a result, the Commission has officially adopted this regulation.",generated,gpt-3.5-turbo,legal,40406
The price of samples shall be EUR 10 per litre. The intervention agency shall provide all the necessary information on the characteristics of the alcohol put up for sale.,The price of samples is set at EUR 10 per litre. The intervention agency is responsible for supplying comprehensive information regarding the characteristics of the alcohol being offered for sale.,generated,gpt-3.5-turbo,legal,40407
HAS ADOPTED THIS REGULATION:. Article 1.,"The regulation referred to as ""ADOPTED REGULATION"" has been established and is outlined in Article 1. It details the provisions and rules set forth by the regulatory body.",generated,gpt-3.5-turbo,legal,40408
Article 1. Catches of herring in the waters of ICES divisions I and II (Community waters and international waters) by vessels flying the flag of France or registered in France are hereby deemed to have exhausted the quota allocated to France for 2004.,This article establishes the quota allocation for herring catches in ICES divisions I and II for vessels flying the French flag or registered in France for the year 2004. It states that catches made by these vessels in the specified waters would be considered as having used up France's allocated quota for that year. This regulation aims to manage and control the fishing activities in these waters to ensure sustainability and compliance with set quotas.,generated,gpt-3.5-turbo,legal,40409
"As no objection under Article 7 of Regulation (EC) No 510/2006 has been received by the Commission, these names should be entered in the Register. HAS ADOPTED THIS REGULATION:.",The Commission has decided to enter the names in the Register as no objection was received under Article 7 of Regulation (EC) No 510/2006. This Regulation has been adopted to officially record the names in question.,generated,gpt-3.5-turbo,legal,40410
4. The provisions in force with regard to customs duties shall apply.,This statement is stating that the current regulations and laws related to customs duties will be enforced and applicable in the given situation. It means that the laws governing the levying and collection of customs duties will be followed and enforced as required by the relevant authorities.,generated,gpt-3.5-turbo,legal,40411
When the Member States adopt these measures they shall contain a reference to this Directive or shall be accompanied by such reference on the occasion of their official publication. The methods of making such a reference shall be laid down by the Member States.,"This excerpt pertains to the process by which Member States reference or incorporate a directive into their national legislation. This directive serves as a legal framework for harmonizing laws and regulations across the European Union. The requirement ensures that when Member States implement measures in accordance with the directive, they must explicitly reference it to maintain consistency and transparency in the legal framework. The specific guidelines for making such references are determined by each Member State.",generated,gpt-3.5-turbo,legal,40412
"(a) provisions guaranteeing the type, provenance and origin of the products. (b) provisions relating to the recognition of the document enabling the guarantees provided for in (a) to be ascertained.","In legal terms, the provisions must explicitly guarantee the specific type, provenance, and origin of the products in question. This can include detailed descriptions or specifications to ensure transparency and authenticity. Additionally, there should be clear provisions in place to establish how the document verifying these guarantees is recognized and verified. This recognition mechanism is crucial for ensuring that the guarantees outlined in the document are valid and can be effectively confirmed. It serves as a safeguard to prevent misinformation, fraud, or misrepresentation regarding the products and their origins. B",generated,gpt-3.5-turbo,legal,40413
(5) The measures provided for in this Regulation are in accordance with the opinion of the Management Committee of Beef and Veal. HAS ADOPTED THIS REGULATION:.,The measures outlined in this Regulation have been established in alignment with the recommendations of the Management Committee of Beef and Veal. This Regulation has been formally adopted.,generated,gpt-3.5-turbo,legal,40414
"The other Member States are hereby authorized to permit, subject to the conditions laid down in Article 1, the marketing in their territory of a maximum of 210 tonnes of maize seed of the said varieties provided that it is intended exclusively for France. The official label shall state: 'Intended exclusively for France`.","This provision allows for the authorized marketing of a specific quantity of maize seed varieties in other Member States, subject to certain conditions outlined in Article 1. The authorized quantity for marketing in these other Member States is limited to a maximum of 210 tonnes, with the condition that the seed is intended exclusively for France. It is important that the official label clearly indicates that the maize seed is intended only for sale and use in France, with the statement ""Intended exclusively for France"" prominently displayed on the packaging. This measure helps ensure compliance with the regulations and re",generated,gpt-3.5-turbo,legal,40415
"Official controls. The documentary check, as referred to in Article 16(1) of Regulation (EC) No 882/2004, shall be performed at the point of first arrival in the Community and evidence of this check will accompany the consignment.","The official controls specified in Regulation (EC) No 882/2004, including the documentary check, must be carried out at the point of first arrival in the European Community. Proof of this check must be provided and accompany the consignment. This ensures compliance with regulatory requirements and the proper monitoring of imports into the EU.",generated,gpt-3.5-turbo,legal,40416
"Article 1. The name in Annex I to this Regulation is added to the Annex to Regulation (EC) No 2400/96 and entered as a protected geographical indication (PGI) in the ""Register of protected designations of origin and protected geographical indications"" provided for in Article 6(3) of Regulation (EEC) No 2081/92.","This article highlights the addition of a specific name to the Annex of Regulation (EC) No 2400/96 as a protected geographical indication (PGI). The name will be included in the ""Register of protected designations of origin and protected geographical indications"" as outlined in Article 6(3) of Regulation (EEC) No 2081/92. This designation serves to protect the geographical origin and characteristics associated with the named product from unauthorized use or misrepresentation.",generated,gpt-3.5-turbo,legal,40417
The methods of making such reference shall be laid down by Member States. 2.,This statement relates to the process of how references are to be made in accordance with regulations set by each Member State within the legal framework. It highlights that the specific methods for making such references will be established by individual countries as part of their own legal procedures and requirements.,generated,gpt-3.5-turbo,legal,40418
(4) The measures provided for in this Regulation are in accordance with the opinion of the Management Committee for Cereals. HAS ADOPTED THIS REGULATION:.,"This statement is a standard legal phrase often found in official documents or regulations to indicate that the measures outlined in the document have been approved in accordance with the advice or opinion of a specific committee or entity. In this case, the measures regarding cereals have been adopted following the opinion of the Management Committee for Cereals. This phrase serves to establish the legitimacy and compliance of the regulations being implemented.",generated,gpt-3.5-turbo,legal,40419
"Article 2. Amounts secured by way of provisional anti-dumping duties pursuant to Commission Regulation (EC) No 390/2007 on imports of peroxosulphates (persulphates), including potassium peroxymonosulphate sulphate, falling within CN codes 2833 40 00 and ex 2842 90 80 (TARIC code 2842908020) and originating in the USA, the PRC and Taiwan shall be definitively collected.","Provisional anti-dumping duties imposed in accordance with Commission Regulation (EC) No 390/2007 on the importation of peroxosulphates (persulphates), such as potassium peroxymonosulphate sulphate, classified under CN codes 2833 40 00 and ex 2842 90 80 (TARIC code 2842908020) and originating from the United States, China, and Taiwan, will be definitively collected.",generated,gpt-3.5-turbo,legal,40420
Article 2. The authorization given in Article 1 shall be withdrawn as soon as it is established that the conditions thereof are no longer satisfied.,"Once it is confirmed that the specified conditions are no longer met, the authorization granted in Article 1 will be revoked promptly.",generated,gpt-3.5-turbo,legal,40421
"(2) in Article 6:. (a) in paragraph 1, the words 'Without prejudice to Article 5` shall be deleted.","In Article 6, paragraph 1 should be revised by deleting the words ""Without prejudice to Article 5"".",generated,gpt-3.5-turbo,legal,40422
HAS ADOPTED THIS REGULATION:. Article 1.,"The text you provided seems to be a fragment of a legal document. If you need further assistance or clarification on this regulation or any related topics, feel free to ask.",generated,gpt-3.5-turbo,legal,40423
"The measures taken shall:. - authorize, two years after adoption of this Directive, the marketing and use of flavourings complying with this Directive.","Under this directive, measures will be implemented to allow the marketing and use of flavorings that comply with the directive, starting two years after its adoption.",generated,gpt-3.5-turbo,legal,40424
The tariff quotas referred to in Article 1 shall be administered by the Commission in accordance with Articles 308a to 308c of Regulation (EEC) No 2454/93. Article 3.,"Article 3 of Regulation (EEC) No 2454/93 outlines the procedures for administering tariff quotas, specifying that the Commission is responsible for their management in accordance with Articles 308a to 308c. This includes handling the allocation and distribution of quota limits as outlined in the regulation.",generated,gpt-3.5-turbo,legal,40425
"Whereas:. (1) The Commission has negotiated, on behalf of the Community, an amendment to the above Agreement aimed at extending until 30 June 2004 the provisional authorisation granted in respect of Australian wines treated with cation exchange resins.",The Commission has successfully negotiated an amendment to the Agreement on behalf of the Community. This amendment extends the provisional authorization granted for Australian wines treated with cation exchange resins until 30 June 2004.,generated,gpt-3.5-turbo,legal,40426
HAS ADOPTED THIS DECISION:. Article 1.,This decision is hereby adopted under Article 1 of the applicable legal framework.,generated,gpt-3.5-turbo,legal,40427
"The French Republic shall notify to the Commission before 20 February 1985, in accordance with Article 93 (3) of the Treaty, all significant cases as defined in Article 2 in which FIM loans have already been granted. Article 5.","This legal provision requires the French Republic to inform the Commission about significant cases involving FIM loans that have been granted before 20 February 1985. The notification should be made in line with Article 93(3) of the Treaty, and the cases should meet the criteria outlined in Article 2. This notification process is essential for transparency and compliance with legal requirements.",generated,gpt-3.5-turbo,legal,40428
Article 4. The Member States shall take the necessary measures to comply with this Decision and publish those measures.,"Under Article 4 of this Decision, it is mandatory for the Member States to adopt and implement all requisite measures necessary for the compliance of the Decision. Additionally, the Member States are required to make these measures publicly available by publishing them. This ensures transparency and accountability in enforcing the Decision across all Member States.",generated,gpt-3.5-turbo,legal,40429
The measures provided for in this Regulation are in accordance with the opinion of the Community Committee for the Farm Accountancy Data Network. HAS ADOPTED THIS REGULATION:.,The provisions outlined in this Regulation have been formulated in alignment with the guidance and recommendations of the Community Committee for the Farm Accountancy Data Network. The adoption of this Regulation is hereby proclaimed.,generated,gpt-3.5-turbo,legal,40430
Article 29 (5) shall be replaced by the following:. '5.,"The amendment to Article 29 (5) states the following:

""5. The parties involved shall have the right to seek legal counsel and representation during the dispute resolution process.""",generated,gpt-3.5-turbo,legal,40431
"(2). However, the exchange of information and staff and the assistance and training measures implemented under the Pericles programme should be uniform throughout the Community and the requisite steps should therefore be taken to guarantee the same level of protection for the euro in the Member States where the euro is not the official currency.","The Pericles programme aims to ensure that the exchange of information, staff, and training measures are consistent across all Member States of the Community. This includes implementing measures to guarantee the same level of protection for the euro in Member States where it is not the official currency. By maintaining uniformity in these aspects, the programme works towards promoting a consistent and secure environment for the euro across the Community.",generated,gpt-3.5-turbo,legal,40432
The Commission shall forward to the Member States' customs authorities the list of operators registered in the Community for the import arrangements in question who may be holders or transferors of an import licence or extract therefrom. 3.,This provision outlines the requirement for the Commission to provide the customs authorities of the Member States with a list of registered operators in the Community who are eligible to hold or transfer an import license or an extract thereof for the relevant import arrangements. This mechanism helps ensure compliance with import regulations and facilitates the smooth functioning of the import process within the Community.,generated,gpt-3.5-turbo,legal,40433
1. Member States shall adopt and publish the provisions necessary in order to comply with this Directive before 1 July 1977 and shall forthwith inform the Commission thereof.,"This statement appears to be a directive related to legal requirements that member states must adhere to. It specifies a deadline by which Member States must adopt and publish the necessary provisions to comply with the directive, which is before 1 July 1977. Member States are also required to inform the Commission promptly after doing so.",generated,gpt-3.5-turbo,legal,40434
"For Sweden, the maximum amount of the first tranche of the compensatory aid referred to in Article 4(3) of Regulation (EC) No 2799/98 shall be EUR 11,12 million in the case of the appreciable revaluation that occurred in 2000. The maximum amount referred to in the penultimate subparagraph of Article 4(6) of Regulation (EC) No 2799/98 and serving as the basis for calculating the second and third tranches of compensatory aid shall be EUR 11,84 million in the case of the appreciable revaluation that occurred in 2000.","In Sweden, the first tranche of compensatory aid under Regulation (EC) No 2799/98 cannot exceed EUR 11.12 million for the appreciable revaluation in 2000. The maximum amount for the second and third tranches of compensatory aid, based on the penultimate subparagraph of Article 4(6) of the same Regulation, is set at EUR 11.84 million for the same revaluation period in 2000.",generated,gpt-3.5-turbo,legal,40435
HAS ADOPTED THIS REGULATION:. Article 1.,The European Parliament and the Council have adopted this regulation under Article 1.,generated,gpt-3.5-turbo,legal,40436
"Whereas this examination showed that the apparatus in question is a measurement platform. Whereas it does not have the requisite objective characteristics making it specifically suited to scientific research ; whereas, moreover, apparatus of the same kind are principally used for non-scientific activities ; whereas its use in the case in question could not alone confer upon it the character of a scientific apparatus ; whereas it therefore cannot be regarded as a scientific apparatus ; whereas the duty-free admission of the apparatus in question is therefore not justified.","Based on the examination conducted, it has been determined that the apparatus in question functions as a measurement platform. However, it lacks the essential objective features that would classify it as specifically designed for scientific research. Furthermore, similar apparatuses are primarily utilized for non-scientific purposes. The mere utilization of this apparatus in a scientific context does not alter its fundamental nature as a non-scientific device. Thus, it cannot be classified as a scientific apparatus, and consequently, the exemption for duty-free admission of this apparatus is not warranted.",generated,gpt-3.5-turbo,legal,40437
